"Letöltés idõpontja";"2017.04.21. 17:23"
"Alap neve:";"AEGON Panoráma Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:";"A sorozat (HUF)"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2014/11/27"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"7,72%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"0,798498";"241353157";"0";"395913,62";"0,16%";"-1,99%";"0,96%";"-7,02%";"";"";""
"2017/04/19";"0,799365";"241218872";"0";"-0,63";"-0%";"-1,47%";"1,38%";"-7,09%";"";"";""
"2017/04/18";"0,799393";"241227322";"0";"-0,1";"-0%";"-1,39%";"1,12%";"-8,14%";"";"";""
"2017/04/13";"0,798642";"241000698";"0";"0,6";"0%";"-2,44%";"0,64%";"-8,51%";"";"";""
"2017/04/12";"0,798192";"240864904";"0";"-0,18";"-0%";"-2,01%";"1,08%";"-9,97%";"";"";""
"2017/04/11";"0,798045";"240820545";"0";"-0,12";"-0%";"-2,6%";"1,35%";"-10,38%";"";"";""
"2017/04/10";"0,797826";"240754459";"0";"34003,98";"0,01%";"-2,5%";"1,81%";"-10,55%";"";"";""
"2017/04/07";"0,797869";"240733429";"0";"0,56";"0%";"-2,53%";"1,62%";"-11,03%";"";"";""
"2017/04/06";"0,798282";"240858039";"0";"-249822,79";"-0,1%";"-2,48%";"2%";"-10,31%";"";"";""
"2017/04/05";"0,799006";"241326534";"0";"-0,3";"-0%";"-3,2%";"2,09%";"-10,3%";"";"";""
"2017/04/04";"0,799625";"241513493";"0";"-1440653,96";"-0,59%";"-3,53%";"1,98%";"-9,97%";"";"";""
"2017/04/03";"0,799364";"242874846";"0";"-0,18";"-0%";"-3,05%";"2,26%";"-9,87%";"";"";""
"2017/03/31";"0,799074";"242786734";"0";"-0,19";"-0%";"-2,13%";"2,41%";"-9,91%";"";"";""
"2017/03/30";"0,799251";"242840513";"0";"49999,74";"0,02%";"-2,11%";"2,44%";"-9,95%";"";"";""
"2017/03/29";"0,799705";"242928426";"0";"-0,77";"-0%";"-2,4%";"2,2%";"-9,59%";"";"";""
"2017/03/28";"0,799704";"242928123";"0";"0,41";"0%";"-3,09%";"2,54%";"-9,82%";"";"";""
"2017/03/27";"0,797671";"242310553";"0";"-48115,51";"-0,02%";"-3,62%";"1,96%";"-10,05%";"";"";""
"2017/03/24";"0,798416";"242585024";"0";"0,09";"0%";"-3,5%";"2,14%";"-9,98%";"";"";""
"2017/03/23";"0,798571";"242632118";"0";"-0,11";"-0%";"-3,48%";"2,16%";"-10%";"";"";""
"2017/03/22";"0,795586";"241725177";"0";"0,39";"0%";"-3,97%";"1,85%";"-10,3%";"";"";""
"2017/03/21";"0,794381";"241359058";"0";"-1017695,63";"-0,42%";"-4,59%";"1,29%";"-10,44%";"";"";""
"2017/03/20";"0,79992";"244066780";"0";"-31619,71";"-0,01%";"-4,28%";"1,49%";"-9,79%";"";"";""
"2017/03/17";"0,800684";"244331537";"0";"0,39";"0%";"-4%";"1,54%";"-9,55%";"";"";""
"2017/03/16";"0,805064";"245668109";"0";"-24295,82";"-0,01%";"-3,47%";"2,09%";"-9,32%";"";"";""
"2017/03/14";"0,809812";"247141417";"0";"-0,21";"-0%";"-1,96%";"2,44%";"-8,75%";"";"";""
"2017/03/13";"0,810328";"247298892";"0";"-404269,3";"-0,16%";"-2,51%";"2,52%";"-8,7%";"";"";""
"2017/03/10";"0,81301";"248523002";"0";"0,11";"0%";"-2,38%";"2,52%";"-8,32%";"";"";""
"2017/03/09";"0,811677";"248115527";"0";"0,2";"0%";"-2,54%";"2,35%";"-8,61%";"";"";""
"2017/03/08";"0,809994";"247601063";"0";"-0,14";"-0%";"-2,22%";"1,99%";"-8,73%";"";"";""
"2017/03/07";"0,806573";"246555323";"0";"-0,31";"-0%";"-2,19%";"1,22%";"-9,46%";"";"";""
"2017/03/06";"0,807935";"246971663";"0";"0,29";"0%";"-1,98%";"1,4%";"-9,19%";"";"";""
"2017/03/03";"0,814736";"249050610";"0";"-1222321,76";"-0,49%";"-1,27%";"2,49%";"-8,54%";"";"";""
"2017/03/02";"0,809367";"248623667";"0";"0,77";"0%";"-1,92%";"1,81%";"-9,12%";"";"";""
"2017/03/01";"0,815983";"250655988";"0";"-0,55";"-0%";"-1,49%";"2,37%";"-8,33%";"";"";""
"2017/02/28";"0,803894";"246942455";"0";"0,11";"0%";"-2,15%";"1,17%";"-9,7%";"";"";""
"2017/02/27";"0,804261";"247055191";"0";"-246560,21";"-0,1%";"-2,81%";"1,21%";"-9,66%";"";"";""
"2017/02/24";"0,805321";"247627690";"0";"-0,46";"-0%";"-3,22%";"0,94%";"-9,85%";"";"";""
"2017/02/23";"0,809572";"248934828";"0";"-0,36";"-0%";"-2,37%";"0,8%";"-9,32%";"";"";""
"2017/02/22";"0,814759";"250529776";"0";"-426922,23";"-0,17%";"-1,2%";"1,2%";"-8,99%";"";"";""
"2017/02/21";"0,813623";"250606795";"0";"-268944,6";"-0,11%";"-1,57%";"0,99%";"-8,95%";"";"";""
"2017/02/20";"0,810807";"250007443";"0";"0,29";"0%";"-1,61%";"0,65%";"-9,27%";"";"";""
"2017/02/17";"0,809956";"249745042";"0";"0,31";"0%";"-0,85%";"0,08%";"-9,19%";"";"";""
"2017/02/16";"0,811992";"250372830";"0";"-0,84";"-0%";"-0,8%";"0,15%";"-8,92%";"";"";""
"2017/02/15";"0,819659";"252736904";"0";"-412134,07";"-0,16%";"0,59%";"0,83%";"-8,05%";"";"";""
"2017/02/14";"0,815946";"252002290";"0";"-61174,7";"-0,02%";"-0,48%";"0,23%";"-9,49%";"";"";""
"2017/02/13";"0,815201";"251833318";"0";"0,36";"0%";"-0,07%";"0,14%";"-9,57%";"";"";""
"2017/02/10";"0,813599";"251338425";"0";"-0,25";"-0%";"1,21%";"-0,26%";"-8,81%";"";"";""
"2017/02/09";"0,80904";"249930051";"0";"37449,53";"0,01%";"0,93%";"-0,61%";"-9,59%";"";"";""
"2017/02/08";"0,809108";"249913605";"0";"0,1";"0%";"1,07%";"-0,21%";"-8,74%";"";"";""
"2017/02/07";"0,806321";"249052769";"0";"80000,02";"0,03%";"0,72%";"-1,02%";"-8,13%";"";"";""
"2017/02/06";"0,804064";"248275861";"0";"0,23";"0%";"-0,92%";"-1,29%";"-8,38%";"";"";""
"2017/02/03";"0,807169";"249234611";"0";"0,15";"0%";"-0,09%";"-2,39%";"-7,96%";"";"";""
"2017/02/02";"0,80707";"249204042";"0";"-0,09";"-0%";"0,35%";"-2,79%";"-7,91%";"";"";""
"2017/02/01";"0,808143";"249535359";"0";"-0,56";"-0%";"1,44%";"-1,61%";"-7,55%";"";"";""
"2017/01/31";"0,80655";"249043479";"0";"0,46";"0%";"1,24%";"-2,5%";"-7,66%";"";"";""
"2017/01/30";"0,805529";"248728218";"0";"-0,65";"-0%";"1,11%";"-2,63%";"-7,78%";"";"";""
"2017/01/27";"0,813411";"251161993";"0";"0,31";"0%";"2,71%";"-1,74%";"-7,86%";"";"";""
"2017/01/26";"0,813499";"251189165";"0";"0,58";"0%";"2,65%";"-1,37%";"-8,1%";"";"";""
"2017/01/25";"0,818475";"252725635";"0";"-0,66";"-0%";"3,53%";"-0,53%";"-7,37%";"";"";""
"2017/01/24";"0,814487";"251494236";"0";"0,52";"0%";"3,13%";"-1,35%";"-7,97%";"";"";""
"2017/01/23";"0,811039";"250429575";"0";"-0,11";"-0%";"2,44%";"-1,77%";"-8,36%";"";"";""
"2017/01/20";"0,814731";"251569577";"0";"-0,41";"-0%";"3,02%";"-1,22%";"-9,49%";"";"";""
"2017/01/19";"0,811305";"250511710";"0";"-0,23";"-0%";"2,89%";"-2,81%";"-8,98%";"";"";""
"2017/01/18";"0,810658";"250311932";"0";"0,32";"0%";"2,54%";"-2,48%";"-9,61%";"";"";""
"2017/01/17";"0,813347";"251142231";"0";"-0,02";"-0%";"2,63%";"-1,74%";"-9,39%";"";"";""
"2017/01/16";"0,818938";"252868599";"0";"-678549,66";"-0,27%";"3,4%";"-1,07%";"-8,77%";"";"";""
"2017/01/13";"0,818593";"253440335";"0";"-327376,24";"-0,13%";"3,16%";"-2,77%";"-8,45%";"";"";""
"2017/01/12";"0,814535";"252509712";"0";"0,72";"0%";"3,15%";"-2,55%";"-9,33%";"";"";""
"2017/01/11";"0,819327";"253995254";"0";"-0,04";"-0%";"4,05%";"-4,67%";"-8,08%";"";"";""
"2017/01/10";"0,818264";"253665719";"0";"0,11";"0%";"4,42%";"-5,68%";"-8,3%";"";"";""
"2017/01/09";"0,817021";"253280383";"0";"99996,29";"0,04%";"4,06%";"-5,82%";"-8,44%";"";"";""
"2017/01/06";"0,818574";"253661634";"0";"-0,2";"-0%";"4,59%";"-7,12%";"-8,2%";"";"";""
"2017/01/05";"0,825452";"255793005";"0";"-0,19";"-0%";"5,47%";"-4,71%";"-7,06%";"";"";""
"2017/01/04";"0,828913";"256865508";"0";"-1607826,28";"-0,63%";"5,71%";"-2,97%";"-6,49%";"";"";""
"2017/01/03";"0,82447";"257087909";"0";"-994863,41";"-0,39%";"5,47%";"-3,37%";"-6,47%";"";"";""
"2017/01/02";"0,818881";"256333255";"0";"0,2";"0%";"4,95%";"-4,02%";"-7,11%";"";"";""
"2016/12/30";"0,816449";"255571969";"0";"-0,45";"-0%";"4,64%";"-3,92%";"-7,52%";"";"";""
"2016/12/29";"0,819395";"256494152";"0";"26440,33";"0,01%";"4,72%";"-4,08%";"-7,28%";"";"";""
"2016/12/28";"0,825189";"258281213";"0";"-1237783,62";"-0,48%";"5,81%";"-4,57%";"-6,75%";"";"";""
"2016/12/27";"0,827605";"260278820";"0";"-603322,27";"-0,23%";"5,79%";"-5,19%";"-6,2%";"";"";""
"2016/12/23";"0,827382";"260811847";"0";"2900430,1";"1,12%";"5,84%";"1,22%";"-6,22%";"";"";""
"2016/12/22";"0,828499";"258259608";"0";"0,31";"0%";"6,06%";"0,1%";"-6,33%";"";"";""
"2016/12/21";"0,832564";"259526749";"0";"1999999,5";"0,77%";"6,16%";"0,89%";"-6,05%";"";"";""
"2016/12/20";"0,835701";"258497079";"0";"-0,5";"-0%";"6,03%";"0,84%";"-5,51%";"";"";""
"2016/12/19";"0,83116";"257092468";"0";"2387554,24";"0,93%";"5,4%";"-1,91%";"-6,02%";"";"";""
"2016/12/16";"0,834043";"255588395";"0";"0,05";"0%";"5,77%";"-1,87%";"-5,44%";"";"";""
"2016/12/15";"0,836301";"256280348";"0";"-0,17";"-0%";"6,17%";"-1,24%";"-5,18%";"";"";""
"2016/12/14";"0,825966";"253113238";"0";"-626358,06";"-0,25%";"4,49%";"-2,62%";"-6,6%";"";"";""
"2016/12/13";"0,831181";"255341662";"0";"1002960,87";"0,4%";"5,16%";"-1,72%";"-5,98%";"";"";""
"2016/12/12";"0,827816";"253309022";"0";"-0,28";"-0%";"5,04%";"-1,34%";"-6,36%";"";"";""
"2016/12/09";"0,832855";"254850940";"0";"0,37";"0%";"5,02%";"-0,45%";"-5,38%";"";"";""
"2016/12/08";"0,828407";"253489866";"0";"-223898,37";"-0,09%";"4,3%";"-0,67%";"-5,87%";"";"";""
"2016/12/07";"0,824616";"252552706";"0";"-914936,07";"-0,36%";"3,48%";"-1,18%";"-6,21%";"";"";""
"2016/12/06";"0,824252";"253355757";"0";"150000,1";"0,06%";"3,45%";"-1,7%";"-6,13%";"";"";""
"2016/12/05";"0,824715";"253347988";"0";"0,29";"0%";"3,8%";"-2,44%";"-6,08%";"";"";""
"2016/12/02";"0,825179";"253490526";"0";"-75759,41";"-0,03%";"3,8%";"-2,51%";"-6,46%";"";"";""
"2016/12/01";"0,828327";"254533623";"0";"-893488,99";"-0,35%";"3,92%";"-2,13%";"-6,04%";"";"";""
"2016/11/30";"0,824525";"254254708";"0";"0,26";"0%";"3,5%";"-2,13%";"-6,57%";"";"";""
"2016/11/29";"0,821529";"253330846";"0";"-0,38";"-0%";"3,14%";"-2,68%";"-6,87%";"";"";""
"2016/11/28";"0,821517";"253327146";"0";"885338,2";"0,35%";"3,39%";"-2,68%";"-6,88%";"";"";""
"2016/11/25";"0,827548";"254295058";"0";"0,63";"0%";"3,92%";"-2,24%";"-6,42%";"";"";""
"2016/11/24";"0,832126";"255701819";"0";"0,06";"0%";"4,3%";"-2,62%";"-5,75%";"";"";""
"2016/11/23";"0,829245";"254816524";"0";"-735226,63";"-0,29%";"3,25%";"-3,73%";"-6,16%";"";"";""
"2016/11/22";"0,824661";"254139081";"0";"-0,74";"-0%";"2,43%";"-3,99%";"-6,59%";"";"";""
"2016/11/21";"0,826559";"254723996";"0";"-6222132,92";"-2,39%";"2,6%";"-3,77%";"-6,38%";"";"";""
"2016/11/18";"0,824101";"260170134";"0";"-0,02";"-0%";"1,95%";"-4,09%";"-6,7%";"";"";""
"2016/11/17";"0,816862";"257884769";"0";"0,22";"0%";"0,93%";"-5,14%";"-7,78%";"";"";""
"2016/11/16";"0,818521";"258408518";"0";"-99422,87";"-0,04%";"0,96%";"-5,26%";"-7,46%";"";"";""
"2016/11/15";"0,814815";"257337500";"0";"-0,2";"-0%";"0,23%";"-5,68%";"-7,9%";"";"";""
"2016/11/14";"0,819896";"258942198";"0";"-0,1";"-0%";"0,72%";"-5,1%";"-7,32%";"";"";""
"2016/11/11";"0,815801";"257648902";"0";"0";"0%";"0,26%";"-5,08%";"-7,77%";"";"";""
"2016/11/10";"0,803848";"253873867";"0";"-4116462,61";"-1,6%";"-1,46%";"-6,15%";"-9,24%";"";"";""
"2016/11/09";"0,80162";"257275266";"0";"-1266200,38";"-0,49%";"-1,53%";"-6,93%";"-9,56%";"";"";""
"2016/11/08";"0,800529";"258189593";"0";"-454254,54";"-0,18%";"-1,27%";"-7,1%";"-9,75%";"";"";""
"2016/11/07";"0,800534";"258645463";"0";"104352,01";"0,04%";"-1,73%";"-7,1%";"-9,75%";"";"";""
"2016/11/04";"0,811532";"262093034";"0";"-0,02";"-0%";"-2,04%";"-5,84%";"-8,72%";"";"";""
"2016/11/03";"0,807909";"260922947";"0";"-780681,94";"-0,3%";"-2,3%";"-6,37%";"-9,33%";"";"";""
"2016/11/02";"0,804245";"260516760";"0";"0,29";"0%";"-3,13%";"-6,63%";"-9,83%";"";"";""
"2016/10/28";"0,796709";"258075645";"0";"6965,03";"0%";"-3,45%";"-7,46%";"-11,91%";"";"";""
"2016/10/27";"0,79198";"256536870";"0";"0,49";"0%";"-4,33%";"-7,71%";"-12,05%";"";"";""
"2016/10/26";"0,792513";"256709518";"0";"-0,55";"-0%";"-3,91%";"-7,56%";"-11,93%";"";"";""
"2016/10/25";"0,790572";"256080793";"0";"-320231,92";"-0,13%";"-3,92%";"-7,81%";"-12,66%";"";"";""
"2016/10/24";"0,789756";"256136377";"0";"5482389,24";"2,18%";"-4,34%";"-7,9%";"-12,75%";"";"";""
"2016/10/21";"0,791738";"251283038";"0";"-1165280,71";"-0,46%";"-4,29%";"-7,74%";"-12,54%";"";"";""
"2016/10/20";"0,79087";"252171554";"0";"-3037409,13";"-1,19%";"-4,12%";"-7,9%";"-13,09%";"";"";""
"2016/10/19";"0,788495";"254442565";"0";"-0,75";"-0%";"-5,54%";"-8,35%";"-13,47%";"";"";""
"2016/10/18";"0,790569";"255111833";"0";"-232732,83";"-0,09%";"-4,89%";"-9,16%";"-13,52%";"";"";""
"2016/10/17";"0,792526";"255976654";"0";"0,15";"0%";"-4,26%";"-8,94%";"-13,31%";"";"";""
"2016/10/14";"0,791999";"255806439";"0";"-0,09";"-0%";"-4,83%";"-8,74%";"-13,51%";"";"";""
"2016/10/13";"0,79355";"256307394";"0";"-443594,27";"-0,17%";"-5,74%";"-9,09%";"-13,09%";"";"";""
"2016/10/12";"0,789636";"255484624";"0";"72495,75";"0,03%";"-5,53%";"-10,94%";"-13,74%";"";"";""
"2016/10/11";"0,787438";"254701173";"0";"-0,47";"-0%";"-8,38%";"-11,57%";"-14,12%";"";"";""
"2016/10/10";"0,783626";"253468161";"0";"-0,26";"-0%";"-9,67%";"-12,15%";"-14,54%";"";"";""
"2016/10/07";"0,785116";"253950110";"0";"0,56";"0%";"-10,09%";"-12,45%";"-14,48%";"";"";""
"2016/10/06";"0,78263";"253145999";"0";"0,36";"0%";"-11,2%";"-12,07%";"-14,82%";"";"";""
"2016/10/05";"0,782622";"253143411";"0";"-0,18";"-0%";"-9,66%";"-12,14%";"-15,23%";"";"";""
"2016/10/04";"0,78411";"253624713";"0";"0,07";"0%";"-8,21%";"-11,71%";"-16,31%";"";"";""
"2016/10/03";"0,78168";"252838716";"0";"-39083,98";"-0,02%";"-8,39%";"-11,86%";"-16,57%";"";"";""
"2016/09/30";"0,780236";"252410658";"0";"-6203391,02";"-2,39%";"-8,18%";"-12,1%";"-17,02%";"";"";""
"2016/09/29";"0,782496";"259363140";"0";"0,25";"0%";"-8,39%";"-11,54%";"-17,42%";"";"";""
"2016/09/28";"0,779877";"258495056";"0";"0,27";"0%";"-9,81%";"-12,05%";"-17,31%";"";"";""
"2016/09/27";"0,782313";"259302483";"0";"-0,49";"-0%";"-10,38%";"-11,78%";"-16,76%";"";"";""
"2016/09/26";"0,784618";"260066490";"0";"0,69";"0%";"-8,46%";"-11,52%";"-16,52%";"";"";""
"2016/09/23";"0,781715";"259104272";"0";"2666196,94";"1,04%";"-4,36%";"-11,9%";"-17,26%";"";"";""
"2016/09/22";"0,781164";"256257322";"0";"0,36";"0%";"-5,62%";"-11,93%";"-17,18%";"";"";""
"2016/09/21";"0,784272";"257276887";"0";"-0,25";"-0%";"-4,96%";"-11,58%";"-16,75%";"";"";""
"2016/09/20";"0,788158";"258551672";"0";"0,24";"0%";"-4,9%";"-11,12%";"-16,22%";"";"";""
"2016/09/19";"0,788559";"258683218";"0";"-234289";"-0,09%";"-6,93%";"-11,07%";"-16,18%";"";"";""
"2016/09/16";"0,788559";"258917507";"0";"-8853026,76";"-3,31%";"-7,22%";"-11,18%";"-16,51%";"";"";""
"2016/09/15";"0,78772";"267485635";"0";"0,72";"0%";"-6,98%";"-11,24%";"-17%";"";"";""
"2016/09/14";"0,79051";"268433033";"0";"-0,73";"-0%";"-6,8%";"-10,93%";"-16,8%";"";"";""
"2016/09/13";"0,790377";"268387871";"0";"-327083,23";"-0,12%";"-6,55%";"-10,94%";"-16,92%";"";"";""
"2016/09/12";"0,78806";"267927213";"0";"-236417,78";"-0,09%";"-6,08%";"-11,21%";"-17,16%";"";"";""
"2016/09/09";"0,793049";"269861304";"0";"0,14";"0%";"-5,21%";"-10,71%";"-16,84%";"";"";""
"2016/09/08";"0,794218";"270259095";"0";"-0,16";"-0%";"-4,77%";"-10,51%";"-17,04%";"";"";""
"2016/09/07";"0,796851";"271155061";"0";"-429431,42";"-0,16%";"-4,51%";"-10,55%";"-17,54%";"";"";""
"2016/09/06";"0,796769";"271556545";"0";"-2722819,77";"-1%";"-4,98%";"-10,44%";"-17,45%";"";"";""
"2016/09/05";"0,794532";"273509301";"0";"-241311,07";"-0,09%";"-6,01%";"-10,7%";"-17,69%";"";"";""
"2016/09/02";"0,79497";"273901522";"0";"-0,12";"-0%";"-6,08%";"-10,73%";"-16,98%";"";"";""
"2016/09/01";"0,797096";"274634021";"0";"-0,04";"-0%";"-5,82%";"-10,45%";"-16,98%";"";"";""
"2016/08/31";"0,796667";"274486212";"0";"-772103,26";"-0,28%";"-5,45%";"-10,61%";"-16,37%";"";"";""
"2016/08/30";"0,796606";"275237239";"0";"-1818573,33";"-0,66%";"-5,45%";"-10,62%";"-16,21%";"";"";""
"2016/08/29";"0,796549";"277035988";"0";"-1855442,68";"-0,67%";"-5,64%";"-10,62%";"-16,22%";"";"";""
"2016/08/26";"0,794618";"278215340";"0";"0,26";"0%";"-5,98%";"-10,75%";"-17,27%";"";"";""
"2016/08/25";"0,796305";"278806000";"0";"10253,09";"0%";"-5,93%";"-10,6%";"-17,08%";"";"";""
"2016/08/24";"0,797809";"279322315";"0";"-39949,73";"-0,01%";"-6,64%";"-10,69%";"-17,9%";"";"";""
"2016/08/23";"0,803137";"281227927";"0";"-69107,58";"-0,02%";"-6,76%";"-10,04%";"-17,44%";"";"";""
"2016/08/22";"0,805063";"281971612";"0";"0,1";"0%";"-6,28%";"-10,07%";"-17,24%";"";"";""
"2016/08/19";"0,805608";"282162497";"0";"-0,56";"-0%";"-6,55%";"-9,85%";"-17,19%";"";"";""
"2016/08/18";"0,808353";"283123928";"0";"-1169003,11";"-0,41%";"-5,92%";"-9,62%";"-16,87%";"";"";""
"2016/08/17";"0,809311";"284629854";"0";"-0,01";"-0%";"-6,02%";"-9,26%";"-16,34%";"";"";""
"2016/08/16";"0,810772";"285143679";"0";"-0,77";"-0%";"-6,15%";"-9,05%";"-15,73%";"";"";""
"2016/08/15";"0,812948";"285908966";"0";"0,14";"0%";"-5,9%";"-8,8%";"-15,5%";"";"";""
"2016/08/12";"0,814049";"286296181";"0";"0,33";"0%";"-5,38%";"-9,7%";"-14,95%";"";"";""
"2016/08/11";"0,813708";"286176253";"0";"-0,3";"-0%";"-5,33%";"-10,14%";"-15,19%";"";"";""
"2016/08/10";"0,815755";"286896171";"0";"-0,11";"-0%";"-4,76%";"-8,57%";"-14,38%";"";"";""
"2016/08/09";"0,814046";"286295126";"0";"906600,05";"0,32%";"-5,49%";"-9,03%";"-15,08%";"";"";""
"2016/08/08";"0,810798";"284249841";"0";"24999,84";"0,01%";"-5,91%";"-8,55%";"-15,42%";"";"";""
"2016/08/05";"0,814592";"285554826";"0";"-115917,94";"-0,04%";"-5,7%";"-7,19%";"-15,25%";"";"";""
"2016/08/04";"0,828421";"290520461";"0";"-240963,68";"-0,08%";"-3,88%";"-4,99%";"-13,57%";"";"";""
"2016/08/03";"0,826959";"290248288";"0";"-360372,82";"-0,12%";"-4,17%";"-5,7%";"-13,93%";"";"";""
"2016/08/02";"0,830262";"291769396";"0";"-0,37";"-0%";"-3,61%";"-5,27%";"-13,46%";"";"";""
"2016/08/01";"0,821338";"288633338";"0";"-130839,83";"-0,04%";"-4,95%";"-6,04%";"-14,39%";"";"";""
"2016/07/29";"0,827249";"290842354";"0";"0,45";"0%";"-4,27%";"-5,29%";"-13,53%";"";"";""
"2016/07/28";"0,825178";"290114236";"0";"0,3";"0%";"-4,15%";"-6,35%";"-13,69%";"";"";""
"2016/07/27";"0,827818";"291042401";"0";"-819508,67";"-0,28%";"-3,53%";"-6,23%";"-13,94%";"";"";""
"2016/07/26";"0,824796";"290796450";"0";"0,12";"0%";"-3,79%";"-6,83%";"-14,12%";"";"";""
"2016/07/25";"0,822797";"290091667";"0";"-75711,91";"-0,03%";"-4,05%";"-6,89%";"-14,33%";"";"";""
"2016/07/22";"0,825624";"291164348";"0";"-8256,04";"-0%";"-3,72%";"-6,71%";"-14,03%";"";"";""
"2016/07/21";"0,827235";"291740755";"0";"200000,16";"0,07%";"-3,6%";"-7,73%";"-13,46%";"";"";""
"2016/07/20";"0,824824";"290691051";"0";"-323729,2";"-0,11%";"-3,95%";"-8,36%";"-13,63%";"";"";""
"2016/07/19";"0,834767";"294522874";"0";"0,25";"0%";"-2,97%";"-6,35%";"-12,53%";"";"";""
"2016/07/18";"0,83124";"293278476";"0";"222310,56";"0,08%";"-4,48%";"-7,32%";"-12,9%";"";"";""
"2016/07/15";"0,827789";"291839505";"0";"0,06";"0%";"-4,89%";"-7,78%";"-13,52%";"";"";""
"2016/07/14";"0,832176";"293386155";"0";"46744,34";"0,02%";"-4,11%";"-6,79%";"-13,27%";"";"";""
"2016/07/13";"0,84188";"296760040";"0";"102126,78";"0,03%";"-3,56%";"-5,84%";"-12,13%";"";"";""
"2016/07/12";"0,83584";"294529565";"0";"799999,6";"0,26%";"-5,73%";"-6,96%";"-12,69%";"";"";""
"2016/07/11";"0,859488";"302039908";"0";"-580464,78";"-0,19%";"-3,48%";"-3,58%";"-10,22%";"";"";""
"2016/07/08";"0,867531";"305452263";"0";"-0,43";"-0%";"-2,74%";"-2,78%";"-10,16%";"";"";""
"2016/07/07";"0,873221";"307455677";"0";"0";"0%";"-2,62%";"-2,41%";"-10,21%";"";"";""
"2016/07/06";"0,881347";"310316791";"0";"0,12";"0%";"-0,98%";"-1,16%";"-9,1%";"";"";""
"2016/07/05";"0,86628";"305011794";"0";"67726,53";"0,02%";"-2,74%";"-2,47%";"-11,27%";"";"";""
"2016/07/04";"0,854257";"300711784";"0";"-1197169,19";"-0,4%";"-3,82%";"-3,63%";"-12,5%";"";"";""
"2016/07/01";"0,853223";"301543520";"0";"99999,68";"0,03%";"-3,79%";"-3,21%";"-13,27%";"";"";""
"2016/06/30";"0,849743";"300214037";"0";"-0,26";"-0%";"-4,27%";"-3,75%";"-12,77%";"";"";""
